,timestamp,target
291,2018-10-19,34.0
292,2018-10-20,34.0
293,2018-10-21,54.0
294,2018-10-22,11.0
295,2018-10-23,50.0
296,2018-10-24,33.0
297,2018-10-25,66.0
298,2018-10-26,31.0
299,2018-10-27,45.0
300,2018-10-28,6.0
301,2018-10-29,0.0
302,2018-10-30,26.0
303,2018-10-31,75.0
304,2018-11-01,59.0
305,2018-11-02,55.0
306,2018-11-03,70.0
307,2018-11-04,29.0
308,2018-11-05,31.0
309,2018-11-06,46.0
310,2018-11-07,86.0
311,2018-11-08,68.0
312,2018-11-09,2.0
313,2018-11-10,0.0
314,2018-11-11,11.0
315,2018-11-12,34.0
316,2018-11-13,14.0
317,2018-11-14,24.0
318,2018-11-15,94.0
319,2018-11-16,29.0
320,2018-11-17,56.0
321,2018-11-18,23.0
322,2018-11-19,39.0
323,2018-11-20,59.0
324,2018-11-21,56.0
325,2018-11-22,73.0
326,2018-11-23,26.0
327,2018-11-24,1.0
328,2018-11-25,39.0
329,2018-11-26,54.0
330,2018-11-27,62.0
331,2018-11-28,37.0
332,2018-11-29,7.0
333,2018-11-30,6.0
334,2018-12-01,19.0
335,2018-12-02,55.0
336,2018-12-03,65.0
337,2018-12-04,60.0
338,2018-12-05,17.0
339,2018-12-06,46.0
340,2018-12-07,53.0
341,2018-12-08,62.0
342,2018-12-09,71.0
343,2018-12-10,39.0
344,2018-12-11,61.0
345,2018-12-12,57.0
346,2018-12-13,63.0
347,2018-12-14,71.0
348,2018-12-15,104.0
349,2018-12-16,14.0
350,2018-12-17,65.0
351,2018-12-18,55.0
352,2018-12-19,34.0
353,2018-12-20,61.0
354,2018-12-21,18.0
355,2018-12-22,12.0
356,2018-12-23,16.0
357,2018-12-24,53.0
358,2018-12-25,44.0
359,2018-12-26,37.0
360,2018-12-27,34.0
361,2018-12-28,46.0
362,2018-12-29,61.0
363,2018-12-30,51.0
364,2018-12-31,45.0
365,2019-01-01,63.0
366,2019-01-02,46.0
367,2019-01-03,49.0
368,2019-01-04,71.0
369,2019-01-05,86.0
370,2019-01-06,86.0
371,2019-01-07,43.0
372,2019-01-08,40.0
373,2019-01-09,49.0
374,2019-01-10,90.0
375,2019-01-11,73.0
376,2019-01-12,99.0
377,2019-01-13,59.0
378,2019-01-14,74.0
379,2019-01-15,54.0
380,2019-01-16,35.0
381,2019-01-17,68.0
382,2019-01-18,41.0
383,2019-01-19,19.0
384,2019-01-20,55.0
385,2019-01-21,94.0
386,2019-01-22,57.0
387,2019-01-23,43.0
388,2019-01-24,56.0
389,2019-01-25,31.0
390,2019-01-26,0.0
391,2019-01-27,0.0
392,2019-01-28,1.0
393,2019-01-29,44.0
394,2019-01-30,54.0
